#profile_pic,#id_len,#num_in_id,#name_len,#num_in_name,#name==id,#itro_len,#url,#private,#post,#follower_counts,#follows_counts,#highlight,#account_tag,#hash_tag,#professional,#fake
1,9,2,9,2,1,0,0,1,33,486,622,0,0,0,0,0
1,9,4,3,0,0,0,0,1,22,308,274,0,0,0,0,0
0,5,2,3,0,0,0,0,0,3,265,214,1,0,0,0,0
1,9,0,9,0,1,0,0,1,100,223,215,0,0,0,0,0
1,6,0,9,0,0,0,0,1,6,143,263,0,0,0,0,0
1,7,4,3,0,0,0,0,0,0,50,44,0,0,0,0,0
1,12,0,2,0,0,1,0,1,9,158,180,0,0,0,0,0
1,6,1,18,0,0,15,0,1,141,210,353,0,0,0,0,0
1,8,1,4,0,0,0,0,0,10,201,221,1,0,0,0,0
1,10,0,2,0,0,0,0,0,151,446,334,0,0,0,0,0
1,12,0,12,0,1,0,0,0,0,233,360,0,0,0,0,0
1,7,0,3,0,0,0,0,1,27,200,318,0,0,0,0,0
1,8,4,3,0,0,0,0,1,2,148,159,0,0,0,0,0
1,8,0,11,0,0,0,0,1,100,183,178,0,0,0,0,0
0,8,0,2,0,0,0,0,1,5,143,182,0,0,0,0,0
1,7,1,6,0,0,0,0,1,24,142,175,0,0,0,0,0
1,12,0,8,0,0,0,0,0,71,381,426,1,0,0,0,0
0,8,1,8,1,1,0,0,1,21,80,368,0,0,0,0,0
1,9,0,9,0,1,5,0,0,43,204,240,0,0,0,0,0
1,11,0,11,0,1,0,0,1,141,100,205,0,0,0,0,0
1,6,0,2,0,0,12,0,0,0,196,168,0,0,0,0,0
1,8,1,8,1,1,4,0,1,0,342,342,0,0,0,0,0
0,11,2,3,0,0,0,0,1,0,135,208,0,0,0,0,0
0,8,0,3,0,0,0,0,0,129,160,130,1,0,0,0,0
1,6,0,3,0,0,0,0,0,3,82,59,0,0,0,0,0
1,9,0,3,0,0,0,0,1,49,227,198,0,0,0,0,0
1,17,0,17,0,1,8,0,0,73,382,203,1,0,0,1,0
1,11,0,2,0,0,0,0,0,10,296,209,1,0,0,1,0
1,11,2,11,0,0,0,0,1,0,29,50,0,0,0,0,0
1,12,0,3,0,0,19,1,0,58,718,657,1,1,0,1,0
1,9,0,2,0,0,0,0,1,83,286,276,0,0,0,0,0
1,6,0,15,0,0,0,0,1,16,130,214,0,0,0,0,0
1,9,0,9,0,1,6,0,1,107,102,365,0,0,4,0,0
1,11,0,11,0,1,64,0,0,99,161,172,0,0,0,0,0
1,9,4,3,0,0,54,0,0,111,890,873,1,0,0,1,0
1,9,0,1,0,0,0,0,0,76,366,238,0,0,0,0,0
1,12,0,3,0,0,54,0,1,34,254,308,0,0,0,0,0
